Solvent,TPSA_solv,MW_solv,HeavyAtomCount_solv,Gsolv_sol,Dipole_sol,Polarizability_sol,HOMO_sol,LUMO_sol,MaxPartialCharge_sol,MinPartialCharge_sol,LogP_sol
MX_0.4-APN_0.6,29.499599999999997,107.31235904031999,8.0,-0.12326891879978824,2.50327456,132.09317056,-0.25263060000000004,-0.09894620000000001,0.77092,-0.70128,1.8635624000000002
MX_0.5-APN_0.5,24.7416,107.11330924672,8.0,-0.11512224479963071,2.4698157600000004,129.77796176,-0.2526176,-0.09884520000000001,0.76932,-0.69688,1.9345104000000002
MX_0.6-APN_0.4,19.9836,106.91425945312,8.0,-0.10697557079947315,2.43635696,127.46275295999999,-0.2526046,-0.0987442,0.76772,-0.69248,2.0054584
MX_0.7-APN_0.3,15.2256,106.71520965951999,8.0,-0.09882889679931564,2.4028981600000003,125.14754416000001,-0.2525916,-0.09864320000000001,0.76612,-0.68808,2.0764064
MX_0.8-APN_0.2,9.9918,106.49625488656,8.0,-0.08986755539914235,2.36609348,122.60081448,-0.2525773,-0.09853210000000001,0.76436,-0.6832400000000001,2.1544492
MX_0.9-APN_0.1,5.2338,106.29720509296,8.0,-0.08172088139898483,2.33263468,120.28560568,-0.2525643,-0.09843110000000001,0.7627600000000001,-0.6788400000000001,2.2253972
MX_0.1-GTN_0.9,43.7736,95.01511036224,7.08,-0.1482096047989968,2.6057596,139.20009044,-0.25266960000000005,-0.0992584,0.7757200000000001,-0.71448,1.2918264000000002
MX_0.2-GTN_0.8,39.9672,95.97712253248,7.16,-0.14164872959898067,2.5788092000000002,137.33389788,-0.2526592,-0.0991768,0.77444,-0.71096,1.3797928000000002
MX_0.3-GTN_0.7,35.685,97.059386224,7.25,-0.13426774499896255,2.54849,135.23443125,-0.2526475,-0.099085,0.773,-0.707,1.478755
MX_0.4-GTN_0.6,31.4028,98.14164991551999,7.34,-0.12688676039894442,2.5181708,133.13496462,-0.2526358,-0.0989932,0.77156,-0.7030400000000001,1.5777172000000002
MX_0.5-GTN_0.5,26.6448,99.34416512832,7.44,-0.1186856663989243,2.4844828000000003,130.80222392000002,-0.25262280000000004,-0.09889120000000001,0.7699600000000001,-0.6986400000000001,1.6876752000000002
MX_0.6-GTN_0.4,21.8868,100.54668034112,7.540000000000001,-0.11048457239890416,2.4507948,128.46948322,-0.2526098,-0.09878920000000001,0.76836,-0.6942400000000001,1.7976332000000002
MX_0.7-GTN_0.3,16.653,101.8694470752,7.65,-0.101463368998882,2.413738,125.90346845,-0.25259550000000003,-0.098677,0.7666,-0.6894,1.9185870000000003
MX_0.8-GTN_0.2,11.4192,103.19221380927999,7.76,-0.09244216559885984,2.3766812,123.33745368000001,-0.2525812,-0.09856480000000001,0.76484,-0.6845600000000001,2.0395408
MX_0.9-GTN_0.1,5.7096,104.63523206464,7.88,-0.0826008527988357,2.3362556000000003,120.53816484000001,-0.2525656,-0.0984424,0.76292,-0.6792800000000001,2.1714904
OX_0.1-NMP_0.9,18.685200000000002,99.62920082096001,7.08,-0.14804634480064632,2.6050500400000005,139.12178748000002,-0.2526688,-0.0992524,0.7758,-0.71472,0.40378719999999996
OX_0.2-NMP_0.8,16.857300000000002,100.26008609803999,7.17,-0.1412163627006291,2.57701171,137.16960252,-0.2526562,-0.0991651,0.77445,-0.7110299999999999,0.5896228
